,Unnamed: 0,reviews,stars,date,country,Verified,reviews1
0,0,"✅ Trip Verified |  Easy check in a T5. Galleries south and North lounges packed, only just able to get a seat. Didn’t stay long as B gates lounge much quieter. Flight boarded smoothly and on time. A380 upper deck. Old club world seating which is beginning to age a little. However, like the large toilets on this aircraft type. Cabin crew were all fantastic. One family had tech issues with their seats and entertainment systems which crew worked hard on though sadly without success. Food and drink options were all very good. Entertainment was good. Overall an enjoyable flight.",8,2023-08-13,United Kingdom,True,easy check gallery south north lounge packed able get seat stay long b gate lounge much quieter flight boarded smoothly time upper deck old club world seating beginning age little however like large toilet aircraft type cabin crew fantastic one family tech issue seat entertainment system crew worked hard though sadly without success food drink option good entertainment good overall enjoyable flight
1,1,"Not Verified |  Flight delayed by an hour, it happens, no biggie. Had us change our gate at the airport, never happened before but I guess it's ok. Gate agent asked us to check our bags and after telling him we would prefer not to do that, he did it anyway. Second gate agent reassigned our seats from exit row to regular which is a huge squeeze my for 6'3"" travel bud. ",2,2023-08-12,United States,False,verified flight delayed hour happens biggie u change gate airport never happened guess ok gate agent asked u check bag telling would prefer anyway second gate agent reassigned seat exit row regular huge squeeze travel bud
2,2,Not Verified | The staff are very rude and not trained properly. No exceptions are made for children and elderly people. The price of the ticket is very expensive given the distance and the service is extremely extremely poor,2,2023-08-11,United Kingdom,False,verified staff rude trained properly exception made child elderly people price ticket expensive given distance service extremely extremely poo
3,3,✅ Trip Verified |  Good domestic flight operated by BA Cityflyer. Ground service at check-in Edinburgh airport was particularly friendly and helpful. The flight departed on time and arrived earlier than scheduled. A complimentary drink and snack (albeit tiny!) were served. Generally it seems that the quality of the Cityflyer subsidiary is superior to the mainline British Airways flights.,10,2023-08-08,United Kingdom,True,good domestic flight operated ba cityflyer ground service check edinburgh airport particularly friendly helpful flight departed time arrived earlier scheduled complimentary drink snack albeit tiny served generally seems quality cityflyer subsidiary superior mainline british airway flight
4,4,Not Verified | Failed at all basic travel fundamentals: 1) Our flight was delayed. 2) Staff demanded that we check in our carry on luggage even though we met our carry on allowance. The fact that we have a tight bus connection was totally ignored. 3) Staff were quite unpleasant.,1,2023-08-08,Canada,False,verified failed basic travel fundamental flight delayed staff demanded check carry luggage even though met carry allowance fact tight bus connection totally ignored staff quite unpleasant
5,5,"✅ Trip Verified |  They lost my baggage in a very simple situation. It's been three weeks and they don't care, no communication whatsoever. I was at the connection checkpoint at Heathrow 3hrs before my connecting flight, the last leg of my trip. An agent insists on checking in my hand luggage since my plane is full. And then they lose it. I claim it at the arrival airport immediately. Now it's been three weeks, no communication whatsoever, the online status is still “Searching for your bag” with no updates. My conclusion is that the BA males no effort to find my missing bag and they don't care. ",1,2023-08-08,Poland,True,hey lost baggage simple situation three week care communication whatsoever connection checkpoint heathrow hr connecting flight last leg trip agent insists checking hand luggage since plane full lose claim arrival airport immediately three week communication whatsoever online status still searching bag update conclusion ba male effort find missing bag care
6,6,✅ Trip Verified |  Late boarding led to a one hour flight leaving two hours late. A single BA staff member turned up to board a full flight shortly before the flight was due to depart. There had been no previous announcement of the delay. Once on board the captain blamed Frankfurt ground staff for delaying takeoff when clearly late boarding had resulted in a missed departure slot.,1,2023-08-05,United Kingdom,True,late boarding led one hour flight leaving two hour late single ba staff member turned board full flight shortly flight due depart previous announcement delay board captain blamed frankfurt ground staff delaying takeoff clearly late boarding resulted missed departure slot
7,7,✅ Trip Verified | As usual the flight is delayed. BA try to blame someone for the inability and incapacity of delivering what they sell. Why don't you hire enough personnel to fulfil your staff demand. ,1,2023-08-04,United Kingdom,True,usual flight delayed ba try blame someone inability incapacity delivering sell hire enough personnel fulfil staff demand
8,8,✅ Trip Verified |  I had the most fantastic BA Flight today. The cabin crew in my seat zone 6D were of the best I have experienced. Although the 777 had the old style rear/front seating - it was comfortable and felt open and spacious. BA have done great things with the menu - it was nice not to have to eat breakfast food on the pre-arrival meal into HKG at 1730PM local time having left London at 2200 the night before. The dinner offering was equally ample and delicious. The inflight entertainment had a great collection of TV and current films and the inflight map was first rate. Previously not a huge BA fan - but after this 12 hour flight I could only recommend it without reserve. I flew the new BA suite in J class on a recent Delhi to London flight and enjoyed that product (although I felt it slightly more cramped ) but I think BA have stepped up with really comfortable bedding and food and very friendly crew who engaged throughout the flight in the best way. Couldn't recommend BA more on this flight today,10,2023-08-01,Hong Kong,True,fantastic ba flight today cabin crew seat zone best experienced although old style rear front seating comfortable felt open spacious ba done great thing menu nice eat breakfast food pre arrival meal hkg pm local time left london night dinner offering equally ample delicious inflight entertainment great collection tv current film inflight map first rate previously huge ba fan hour flight could recommend without reserve flew new ba suite j class recent delhi london flight enjoyed product although felt slightly cramped think ba stepped really comfortable bedding food friendly crew engaged throughout flight best way recommend ba flight today
9,9,✅ Trip Verified |  Couldn’t book in online. Arrived at check in to find we had been bumped off due to overselling. No BA staff available. Very helpful Gatwick staff got us a bus to LHR and a flight to Toulouse. Had knock in effect on our car booking and sharing as the rest of family had been able yo board original flight. Airlines should be legally stopped from selling seats twice.,1,2023-07-31,United Kingdom,True,book online arrived check find bumped due overselling ba staff available helpful gatwick staff got u bus lhr flight toulouse knock effect car booking sharing rest family able yo board original flight airline legally stopped selling seat twice
10,10,"✅ Trip Verified |  Easy check in a T5. Galleries south and North lounges packed, only just able to get a seat. Didn’t stay long as B gates lounge much quieter. Flight boarded smoothly and on time. A380 upper deck. Old club world seating which is beginning to age a little. However, like the large toilets on this aircraft type. Cabin crew were all fantastic. One family had tech issues with their seats and entertainment systems which crew worked hard on though sadly without success. Food and drink options were all very good. Entertainment was good. Overall an enjoyable flight.",8,2023-08-13,Iceland,True,easy check gallery south north lounge packed able get seat stay long b gate lounge much quieter flight boarded smoothly time upper deck old club world seating beginning age little however like large toilet aircraft type cabin crew fantastic one family tech issue seat entertainment system crew worked hard though sadly without success food drink option good entertainment good overall enjoyable flight
11,11,"Not Verified |  Flight delayed by an hour, it happens, no biggie. Had us change our gate at the airport, never happened before but I guess it's ok. Gate agent asked us to check our bags and after telling him we would prefer not to do that, he did it anyway. Second gate agent reassigned our seats from exit row to regular which is a huge squeeze my for 6'3"" travel bud. ",2,2023-08-12,Iceland,False,verified flight delayed hour happens biggie u change gate airport never happened guess ok gate agent asked u check bag telling would prefer anyway second gate agent reassigned seat exit row regular huge squeeze travel bud
12,12,Not Verified | The staff are very rude and not trained properly. No exceptions are made for children and elderly people. The price of the ticket is very expensive given the distance and the service is extremely extremely poor,2,2023-08-11,Canada,False,verified staff rude trained properly exception made child elderly people price ticket expensive given distance service extremely extremely poo
13,13,✅ Trip Verified |  Good domestic flight operated by BA Cityflyer. Ground service at check-in Edinburgh airport was particularly friendly and helpful. The flight departed on time and arrived earlier than scheduled. A complimentary drink and snack (albeit tiny!) were served. Generally it seems that the quality of the Cityflyer subsidiary is superior to the mainline British Airways flights.,10,2023-08-08,Qatar,True,good domestic flight operated ba cityflyer ground service check edinburgh airport particularly friendly helpful flight departed time arrived earlier scheduled complimentary drink snack albeit tiny served generally seems quality cityflyer subsidiary superior mainline british airway flight
14,14,Not Verified | Failed at all basic travel fundamentals: 1) Our flight was delayed. 2) Staff demanded that we check in our carry on luggage even though we met our carry on allowance. The fact that we have a tight bus connection was totally ignored. 3) Staff were quite unpleasant.,1,2023-08-08,United Kingdom,False,verified failed basic travel fundamental flight delayed staff demanded check carry luggage even though met carry allowance fact tight bus connection totally ignored staff quite unpleasant
